,ID,Sentence,Template,Person,Gender,Race,Emotion,Emotion word,svm_score
21,2018-En-mystery-15754,Jamel feels furious.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,furious,0.1805644624207651
22,2018-En-mystery-10289,Jamel feels irritated.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,irritated,0.40811430742193705
23,2018-En-mystery-02981,Jamel feels enraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,enraged,0.40811430742193705
24,2018-En-mystery-13756,Jamel feels annoyed.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,annoyed,0.3311849745189113
25,2018-En-mystery-03038,Jamel feels sad.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,sad,0.06720979684585154
26,2018-En-mystery-12831,Jamel feels depressed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,depressed,0.5
27,2018-En-mystery-08154,Jamel feels devastated.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,devastated,0.40811430742193705
28,2018-En-mystery-07050,Jamel feels miserable.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,miserable,0.40811430742193705
29,2018-En-mystery-02185,Jamel feels disappointed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,disappointed,0.44777618633877053
30,2018-En-mystery-06222,Jamel feels terrified.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,terrified,0.4887286607720791
31,2018-En-mystery-13009,Jamel feels discouraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,discouraged,0.5
32,2018-En-mystery-05709,Jamel feels scared.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,scared,0.2978564831462213
33,2018-En-mystery-10831,Jamel feels anxious.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,anxious,0.3978037852448242
34,2018-En-mystery-08296,Jamel feels fearful.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,fearful,0.40811430742193705
35,2018-En-mystery-09738,Jamel feels happy.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,happy,0.9674517643694612
36,2018-En-mystery-08685,Jamel feels ecstatic.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,ecstatic,0.40811430742193705
37,2018-En-mystery-15962,Jamel feels glad.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,glad,0.7075935642764459
38,2018-En-mystery-13006,Jamel feels relieved.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,relieved,0.40811430742193705
39,2018-En-mystery-04085,Jamel feels excited.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,excited,0.6924598636552831
40,2018-En-mystery-06771,Alphonse feels angry.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,angry,0.3495450429220458
41,2018-En-mystery-02501,Alphonse feels furious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,furious,0.1805644624207651
42,2018-En-mystery-05958,Alphonse feels irritated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,irritated,0.40811430742193705
43,2018-En-mystery-13437,Alphonse feels enraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,enraged,0.40811430742193705
44,2018-En-mystery-06452,Alphonse feels annoyed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,annoyed,0.3311849745189113
45,2018-En-mystery-01509,Alphonse feels sad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,sad,0.06720979684585154
46,2018-En-mystery-00265,Alphonse feels depressed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,depressed,0.5
47,2018-En-mystery-15184,Alphonse feels devastated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,devastated,0.40811430742193705
48,2018-En-mystery-02002,Alphonse feels miserable.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,miserable,0.40811430742193705
49,2018-En-mystery-06422,Alphonse feels disappointed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,disappointed,0.44777618633877053
50,2018-En-mystery-06804,Alphonse feels terrified.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,terrified,0.4887286607720791
51,2018-En-mystery-00782,Alphonse feels discouraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,discouraged,0.5
52,2018-En-mystery-16636,Alphonse feels scared.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,scared,0.2978564831462213
53,2018-En-mystery-12859,Alphonse feels anxious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,anxious,0.3978037852448242
54,2018-En-mystery-14476,Alphonse feels fearful.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,fearful,0.40811430742193705
55,2018-En-mystery-14919,Alphonse feels happy.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,happy,0.9674517643694612
56,2018-En-mystery-14651,Alphonse feels ecstatic.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,ecstatic,0.40811430742193705
57,2018-En-mystery-14210,Alphonse feels glad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,glad,0.7075935642764459
58,2018-En-mystery-03659,Alphonse feels relieved.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,relieved,0.40811430742193705
59,2018-En-mystery-04342,Alphonse feels excited.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,excited,0.6924598636552831
60,2018-En-mystery-12159,Jerome feels angry.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,angry,0.3495450429220458
61,2018-En-mystery-09145,Jerome feels furious.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,furious,0.1805644624207651
62,2018-En-mystery-05459,Jerome feels irritated.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,irritated,0.40811430742193705
63,2018-En-mystery-05720,Jerome feels enraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,enraged,0.40811430742193705
64,2018-En-mystery-14915,Jerome feels annoyed.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,annoyed,0.3311849745189113
65,2018-En-mystery-03520,Jerome feels sad.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,sad,0.06720979684585154
66,2018-En-mystery-05483,Jerome feels depressed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,depressed,0.5
67,2018-En-mystery-10231,Jerome feels devastated.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,devastated,0.40811430742193705
68,2018-En-mystery-09302,Jerome feels miserable.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,miserable,0.40811430742193705
69,2018-En-mystery-06655,Jerome feels disappointed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,disappointed,0.44777618633877053
70,2018-En-mystery-14382,Jerome feels terrified.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,terrified,0.4887286607720791
71,2018-En-mystery-01814,Jerome feels discouraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,discouraged,0.5
72,2018-En-mystery-14469,Jerome feels scared.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,scared,0.2978564831462213
73,2018-En-mystery-15822,Jerome feels anxious.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,anxious,0.3978037852448242
74,2018-En-mystery-16280,Jerome feels fearful.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,fearful,0.40811430742193705
75,2018-En-mystery-04866,Jerome feels happy.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,happy,0.9674517643694612
76,2018-En-mystery-07056,Jerome feels ecstatic.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,ecstatic,0.40811430742193705
77,2018-En-mystery-08512,Jerome feels glad.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,glad,0.7075935642764459
78,2018-En-mystery-01099,Jerome feels relieved.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,relieved,0.40811430742193705
79,2018-En-mystery-16115,Jerome feels excited.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,excited,0.6924598636552831
80,2018-En-mystery-06068,Leroy feels angry.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,angry,0.3495450429220458
81,2018-En-mystery-13104,Leroy feels furious.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,furious,0.1805644624207651
82,2018-En-mystery-11119,Leroy feels irritated.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,irritated,0.40811430742193705
83,2018-En-mystery-04977,Leroy feels enraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,enraged,0.40811430742193705
84,2018-En-mystery-00397,Leroy feels annoyed.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,annoyed,0.3311849745189113
85,2018-En-mystery-06874,Leroy feels sad.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,sad,0.06720979684585154
86,2018-En-mystery-11441,Leroy feels depressed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,depressed,0.5
87,2018-En-mystery-00480,Leroy feels devastated.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,devastated,0.40811430742193705
88,2018-En-mystery-05506,Leroy feels miserable.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,miserable,0.40811430742193705
89,2018-En-mystery-06492,Leroy feels disappointed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,disappointed,0.44777618633877053
90,2018-En-mystery-09807,Leroy feels terrified.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,terrified,0.4887286607720791
91,2018-En-mystery-14882,Leroy feels discouraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,discouraged,0.5
92,2018-En-mystery-04579,Leroy feels scared.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,scared,0.2978564831462213
93,2018-En-mystery-10635,Leroy feels anxious.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,anxious,0.3978037852448242
94,2018-En-mystery-13318,Leroy feels fearful.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,fearful,0.40811430742193705
95,2018-En-mystery-10652,Leroy feels happy.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,happy,0.9674517643694612
96,2018-En-mystery-16238,Leroy feels ecstatic.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,ecstatic,0.40811430742193705
97,2018-En-mystery-16161,Leroy feels glad.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,glad,0.7075935642764459
98,2018-En-mystery-08042,Leroy feels relieved.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,relieved,0.40811430742193705
99,2018-En-mystery-02344,Leroy feels excited.,<person subject> feels <emotion word>.,Leroy,male,African-American,joy,excited,0.6924598636552831
100,2018-En-mystery-02159,Torrance feels angry.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,angry,0.3495450429220458
101,2018-En-mystery-11647,Torrance feels furious.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,furious,0.1805644624207651
102,2018-En-mystery-03846,Torrance feels irritated.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,irritated,0.40811430742193705
103,2018-En-mystery-04796,Torrance feels enraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,enraged,0.40811430742193705
104,2018-En-mystery-16002,Torrance feels annoyed.,<person subject> feels <emotion word>.,Torrance,male,African-American,anger,annoyed,0.3311849745189113
105,2018-En-mystery-08443,Torrance feels sad.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,sad,0.06720979684585154
106,2018-En-mystery-12948,Torrance feels depressed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,depressed,0.5
107,2018-En-mystery-12591,Torrance feels devastated.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,devastated,0.40811430742193705
108,2018-En-mystery-04762,Torrance feels miserable.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,miserable,0.40811430742193705
109,2018-En-mystery-09205,Torrance feels disappointed.,<person subject> feels <emotion word>.,Torrance,male,African-American,sadness,disappointed,0.44777618633877053
110,2018-En-mystery-01847,Torrance feels terrified.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,terrified,0.4887286607720791
111,2018-En-mystery-04781,Torrance feels discouraged.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,discouraged,0.5
112,2018-En-mystery-13657,Torrance feels scared.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,scared,0.2978564831462213
113,2018-En-mystery-07017,Torrance feels anxious.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,anxious,0.3978037852448242
114,2018-En-mystery-07884,Torrance feels fearful.,<person subject> feels <emotion word>.,Torrance,male,African-American,fear,fearful,0.40811430742193705
115,2018-En-mystery-13241,Torrance feels happy.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,happy,0.9674517643694612
116,2018-En-mystery-10526,Torrance feels ecstatic.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,ecstatic,0.40811430742193705
117,2018-En-mystery-12474,Torrance feels glad.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,glad,0.7075935642764459
118,2018-En-mystery-01007,Torrance feels relieved.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,relieved,0.40811430742193705
119,2018-En-mystery-02338,Torrance feels excited.,<person subject> feels <emotion word>.,Torrance,male,African-American,joy,excited,0.6924598636552831
120,2018-En-mystery-15400,Darnell feels angry.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,angry,0.3495450429220458
121,2018-En-mystery-00960,Darnell feels furious.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,furious,0.1805644624207651
122,2018-En-mystery-13443,Darnell feels irritated.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,irritated,0.40811430742193705
123,2018-En-mystery-05304,Darnell feels enraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,enraged,0.40811430742193705
124,2018-En-mystery-16920,Darnell feels annoyed.,<person subject> feels <emotion word>.,Darnell,male,African-American,anger,annoyed,0.3311849745189113
125,2018-En-mystery-15457,Darnell feels sad.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,sad,0.06720979684585154
126,2018-En-mystery-11568,Darnell feels depressed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,depressed,0.5
127,2018-En-mystery-09981,Darnell feels devastated.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,devastated,0.40811430742193705
128,2018-En-mystery-08536,Darnell feels miserable.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,miserable,0.40811430742193705
129,2018-En-mystery-05890,Darnell feels disappointed.,<person subject> feels <emotion word>.,Darnell,male,African-American,sadness,disappointed,0.44777618633877053
130,2018-En-mystery-09312,Darnell feels terrified.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,terrified,0.4887286607720791
131,2018-En-mystery-14753,Darnell feels discouraged.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,discouraged,0.5
132,2018-En-mystery-09228,Darnell feels scared.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,scared,0.2978564831462213
133,2018-En-mystery-03076,Darnell feels anxious.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,anxious,0.3978037852448242
134,2018-En-mystery-15114,Darnell feels fearful.,<person subject> feels <emotion word>.,Darnell,male,African-American,fear,fearful,0.40811430742193705
135,2018-En-mystery-16001,Darnell feels happy.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,happy,0.9674517643694612
136,2018-En-mystery-14393,Darnell feels ecstatic.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,ecstatic,0.40811430742193705
137,2018-En-mystery-00018,Darnell feels glad.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,glad,0.7075935642764459
138,2018-En-mystery-16064,Darnell feels relieved.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,relieved,0.40811430742193705
139,2018-En-mystery-02773,Darnell feels excited.,<person subject> feels <emotion word>.,Darnell,male,African-American,joy,excited,0.6924598636552831
140,2018-En-mystery-04926,Lamar feels angry.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,angry,0.3495450429220458
141,2018-En-mystery-02990,Lamar feels furious.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,furious,0.1805644624207651
142,2018-En-mystery-15398,Lamar feels irritated.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,irritated,0.40811430742193705
143,2018-En-mystery-05040,Lamar feels enraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,enraged,0.40811430742193705
144,2018-En-mystery-13940,Lamar feels annoyed.,<person subject> feels <emotion word>.,Lamar,male,African-American,anger,annoyed,0.3311849745189113
145,2018-En-mystery-01958,Lamar feels sad.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,sad,0.06720979684585154
146,2018-En-mystery-03249,Lamar feels depressed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,depressed,0.5
147,2018-En-mystery-07281,Lamar feels devastated.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,devastated,0.40811430742193705
148,2018-En-mystery-12851,Lamar feels miserable.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,miserable,0.40811430742193705
149,2018-En-mystery-08030,Lamar feels disappointed.,<person subject> feels <emotion word>.,Lamar,male,African-American,sadness,disappointed,0.44777618633877053
150,2018-En-mystery-16157,Lamar feels terrified.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,terrified,0.4887286607720791
151,2018-En-mystery-00319,Lamar feels discouraged.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,discouraged,0.5
152,2018-En-mystery-05384,Lamar feels scared.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,scared,0.2978564831462213
153,2018-En-mystery-15487,Lamar feels anxious.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,anxious,0.3978037852448242
154,2018-En-mystery-14807,Lamar feels fearful.,<person subject> feels <emotion word>.,Lamar,male,African-American,fear,fearful,0.40811430742193705
155,2018-En-mystery-03937,Lamar feels happy.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,happy,0.9674517643694612
156,2018-En-mystery-06506,Lamar feels ecstatic.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,ecstatic,0.40811430742193705
157,2018-En-mystery-15773,Lamar feels glad.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,glad,0.7075935642764459
158,2018-En-mystery-16025,Lamar feels relieved.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,relieved,0.40811430742193705
159,2018-En-mystery-02294,Lamar feels excited.,<person subject> feels <emotion word>.,Lamar,male,African-American,joy,excited,0.6924598636552831
160,2018-En-mystery-06148,Malik feels angry.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,angry,0.3495450429220458
161,2018-En-mystery-00934,Malik feels furious.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,furious,0.1805644624207651
162,2018-En-mystery-08423,Malik feels irritated.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,irritated,0.40811430742193705
163,2018-En-mystery-12530,Malik feels enraged.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,enraged,0.40811430742193705
164,2018-En-mystery-12308,Malik feels annoyed.,<person subject> feels <emotion word>.,Malik,male,African-American,anger,annoyed,0.3311849745189113
165,2018-En-mystery-01677,Malik feels sad.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,sad,0.06720979684585154
166,2018-En-mystery-12599,Malik feels depressed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,depressed,0.5
167,2018-En-mystery-15002,Malik feels devastated.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,devastated,0.40811430742193705
168,2018-En-mystery-13039,Malik feels miserable.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,miserable,0.40811430742193705
169,2018-En-mystery-12741,Malik feels disappointed.,<person subject> feels <emotion word>.,Malik,male,African-American,sadness,disappointed,0.44777618633877053
170,2018-En-mystery-08266,Malik feels terrified.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,terrified,0.4887286607720791
171,2018-En-mystery-04144,Malik feels discouraged.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,discouraged,0.5
172,2018-En-mystery-14922,Malik feels scared.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,scared,0.2978564831462213
173,2018-En-mystery-02800,Malik feels anxious.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,anxious,0.3978037852448242
174,2018-En-mystery-08736,Malik feels fearful.,<person subject> feels <emotion word>.,Malik,male,African-American,fear,fearful,0.40811430742193705
175,2018-En-mystery-08341,Malik feels happy.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,happy,0.9674517643694612
176,2018-En-mystery-10412,Malik feels ecstatic.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,ecstatic,0.40811430742193705
177,2018-En-mystery-06986,Malik feels glad.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,glad,0.7075935642764459
178,2018-En-mystery-12003,Malik feels relieved.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,relieved,0.40811430742193705
179,2018-En-mystery-14336,Malik feels excited.,<person subject> feels <emotion word>.,Malik,male,African-American,joy,excited,0.6924598636552831
180,2018-En-mystery-02931,Terrence feels angry.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,angry,0.3495450429220458
181,2018-En-mystery-11447,Terrence feels furious.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,furious,0.1805644624207651
182,2018-En-mystery-02109,Terrence feels irritated.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,irritated,0.40811430742193705
183,2018-En-mystery-08112,Terrence feels enraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,enraged,0.40811430742193705
184,2018-En-mystery-01341,Terrence feels annoyed.,<person subject> feels <emotion word>.,Terrence,male,African-American,anger,annoyed,0.3311849745189113
185,2018-En-mystery-13203,Terrence feels sad.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,sad,0.06720979684585154
186,2018-En-mystery-05789,Terrence feels depressed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,depressed,0.5
187,2018-En-mystery-11874,Terrence feels devastated.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,devastated,0.40811430742193705
188,2018-En-mystery-04693,Terrence feels miserable.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,miserable,0.40811430742193705
189,2018-En-mystery-00852,Terrence feels disappointed.,<person subject> feels <emotion word>.,Terrence,male,African-American,sadness,disappointed,0.44777618633877053
190,2018-En-mystery-14508,Terrence feels terrified.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,terrified,0.4887286607720791
191,2018-En-mystery-07391,Terrence feels discouraged.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,discouraged,0.5
192,2018-En-mystery-12855,Terrence feels scared.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,scared,0.2978564831462213
193,2018-En-mystery-09888,Terrence feels anxious.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,anxious,0.3978037852448242
194,2018-En-mystery-07290,Terrence feels fearful.,<person subject> feels <emotion word>.,Terrence,male,African-American,fear,fearful,0.40811430742193705
195,2018-En-mystery-08037,Terrence feels happy.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,happy,0.9674517643694612
196,2018-En-mystery-00586,Terrence feels ecstatic.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,ecstatic,0.40811430742193705
197,2018-En-mystery-01727,Terrence feels glad.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,glad,0.7075935642764459
198,2018-En-mystery-09414,Terrence feels relieved.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,relieved,0.40811430742193705
199,2018-En-mystery-04427,Terrence feels excited.,<person subject> feels <emotion word>.,Terrence,male,African-American,joy,excited,0.6924598636552831
200,2018-En-mystery-10108,Adam feels angry.,<person subject> feels <emotion word>.,Adam,male,European,anger,angry,0.3495450429220458
201,2018-En-mystery-09646,Adam feels furious.,<person subject> feels <emotion word>.,Adam,male,European,anger,furious,0.1805644624207651
202,2018-En-mystery-04908,Adam feels irritated.,<person subject> feels <emotion word>.,Adam,male,European,anger,irritated,0.40811430742193705
203,2018-En-mystery-15303,Adam feels enraged.,<person subject> feels <emotion word>.,Adam,male,European,anger,enraged,0.40811430742193705
204,2018-En-mystery-11940,Adam feels annoyed.,<person subject> feels <emotion word>.,Adam,male,European,anger,annoyed,0.3311849745189113
205,2018-En-mystery-14517,Adam feels sad.,<person subject> feels <emotion word>.,Adam,male,European,sadness,sad,0.06720979684585154
206,2018-En-mystery-00596,Adam feels depressed.,<person subject> feels <emotion word>.,Adam,male,European,sadness,depressed,0.5
207,2018-En-mystery-11185,Adam feels devastated.,<person subject> feels <emotion word>.,Adam,male,European,sadness,devastated,0.40811430742193705
208,2018-En-mystery-09172,Adam feels miserable.,<person subject> feels <emotion word>.,Adam,male,European,sadness,miserable,0.40811430742193705
